baseline.a,from,to,t,p,lower,upper,t2,from_ordered
20,Healthy,Healthy,0,1,1,1,20,Otherwise healthy
20,INT,Healthy,0,0,0,0,20,INT
20,CMD,Healthy,0,0,0,0,20,CMD
20,INT->CMD,Healthy,0,0,0,0,20,INT->CMD
20,CMD->INT,Healthy,0,0,0,0,20,CMD -> INT
20,CVE,Healthy,0,0,0,0,20,NA
20,Death,Healthy,0,0,0,0,20,NA
20,Healthy,INT,0,0,0,0,20,Otherwise healthy
20,INT,INT,0,1,1,1,20,INT
20,CMD,INT,0,0,0,0,20,CMD
20,INT->CMD,INT,0,0,0,0,20,INT->CMD
20,CMD->INT,INT,0,0,0,0,20,CMD -> INT
20,CVE,INT,0,0,0,0,20,NA
20,Death,INT,0,0,0,0,20,NA
20,Healthy,CMD,0,0,0,0,20,Otherwise healthy
20,INT,CMD,0,0,0,0,20,INT
20,CMD,CMD,0,1,0.9998,1,20,CMD
20,INT->CMD,CMD,0,0,0,0,20,INT->CMD
20,CMD->INT,CMD,0,0,0,0,20,CMD -> INT
20,CVE,CMD,0,0,0,0,20,NA
20,Death,CMD,0,0,0,0,20,NA
20,Healthy,INT->CMD,0,0,0,0,20,Otherwise healthy
20,INT,INT->CMD,0,0,0,0,20,INT
20,CMD,INT->CMD,0,0,0,0,20,CMD
20,INT->CMD,INT->CMD,0,1,1,1,20,INT->CMD
20,CMD->INT,INT->CMD,0,0,0,0,20,CMD -> INT
20,CVE,INT->CMD,0,0,0,0,20,NA
20,Death,INT->CMD,0,0,0,0,20,NA
20,Healthy,CMD->INT,0,0,0,0,20,Otherwise healthy
20,INT,CMD->INT,0,0,0,0,20,INT
20,CMD,CMD->INT,0,0,0,0,20,CMD
20,INT->CMD,CMD->INT,0,0,0,0,20,INT->CMD
20,CMD->INT,CMD->INT,0,1,0.9995975,1,20,CMD -> INT
20,CVE,CMD->INT,0,0,0,0,20,NA
20,Death,CMD->INT,0,0,0,0,20,NA
20,Healthy,CVE,0,0,0,0,20,Otherwise healthy
20,INT,CVE,0,0,0,0,20,INT
20,CMD,CVE,0,0,0,0,20,CMD
20,INT->CMD,CVE,0,0,0,0,20,INT->CMD
20,CMD->INT,CVE,0,0,0,0,20,CMD -> INT
20,CVE,CVE,0,1,1,1,20,NA
20,Death,CVE,0,0,0,0,20,NA
20,Healthy,Death,0,0,0,0,20,Otherwise healthy
20,INT,Death,0,0,0,0,20,INT
20,CMD,Death,0,0,0,2e-4,20,CMD
20,INT->CMD,Death,0,0,0,0,20,INT->CMD
20,CMD->INT,Death,0,0,0,4.0249999999999775e-4,20,CMD -> INT
20,CVE,Death,0,0,0,0,20,NA
20,Death,Death,0,1,1,1,20,NA
20,Healthy,Healthy,0.1,0.9965,0.9953,0.9978025,20.1,Otherwise healthy
20,INT,Healthy,0.1,0,0,0,20.1,INT
20,CMD,Healthy,0.1,0,0,0,20.1,CMD
20,INT->CMD,Healthy,0.1,0,0,0,20.1,INT->CMD
20,CMD->INT,Healthy,0.1,0,0,0,20.1,CMD -> INT
20,CVE,Healthy,0.1,0,0,0,20.1,NA
20,Death,Healthy,0.1,0,0,0,20.1,NA
20,Healthy,INT,0.1,0.0024,8e-4,0.0026024999999999976,20.1,Otherwise healthy
20,INT,INT,0.1,0.9958,0.995,0.9984,20.1,INT
20,CMD,INT,0.1,0,0,0,20.1,CMD
20,INT->CMD,INT,0.1,0,0,0,20.1,INT->CMD
20,CMD->INT,INT,0.1,0,0,0,20.1,CMD -> INT
20,CVE,INT,0.1,0,0,0,20.1,NA
20,Death,INT,0.1,0,0,0,20.1,NA
20,Healthy,CMD,0.1,9e-4,7e-4,0.0024024999999999975,20.1,Otherwise healthy
20,INT,CMD,0.1,0,0,0,20.1,INT
20,CMD,CMD,0.1,0.9931,0.9914975,0.9964025,20.1,CMD
